timestamp,session_id,consulta_original,tokens_detectados,faq_id_asignada,categoria,puntaje,resultado,intentos_fallidos_sesion
2026-06-28T13:35:34,web-kpnuam76,Infraestructura,infraestructura,N/A,N/A,0,sin_resultado,1
2026-06-28T13:35:38,web-kpnuam76,Hablar con un asesor,hablar asesor,N/A,N/A,0,transferencia_explicita,0
